# 1791 diagrams with invariants in native notation
pd; kbsm
('PlanarDiagram', {}, [('Crossing', 'b', (('Endpoint', 'c', 0, {}), ('Endpoint', 'a', 0, {}), ('Endpoint', 'c', 3, {}), ('Endpoint', 'd', 3, {})), {}), ('Crossing', 'f', (('Endpoint', 'd', 2, {}), ('Endpoint', 'g', 2, {}), ('Endpoint', 'h', 0, {}), ('Endpoint', 'g', 1, {})), {}), ('Crossing', 'c', (('Endpoint', 'b', 0, {}), ('Endpoint', 'e', 0, {}), ('Endpoint', 'd', 0, {}), ('Endpoint', 'b', 2, {})), {}), ('Crossing', 'd', (('Endpoint', 'c', 2, {}), ('Endpoint', 'e', 3, {}), ('Endpoint', 'f', 0, {}), ('Endpoint', 'b', 3, {})), {}), ('Crossing', 'g', (('Endpoint', 'e', 1, {}), ('Endpoint', 'f', 3, {}), ('Endpoint', 'f', 1, {}), ('Endpoint', 'e', 2, {})), {}), ('Crossing', 'e', (('Endpoint', 'c', 1, {}), ('Endpoint', 'g', 0, {}), ('Endpoint', 'g', 3, {}), ('Endpoint', 'd', 1, {})), {}), ('Vertex', 'a', (('Endpoint', 'b', 1, {}),), {}), ('Vertex', 'h', (('Endpoint', 'f', 2, {}),), {})]); -1/A**2 + A**(-6) + A**(-8)
('PlanarDiagram', {}, [('Crossing', 'b', (('Endpoint', 'c', 0, {}), ('Endpoint', 'a', 0, {}), ('Endpoint', 'c', 3, {}), ('Endpoint', 'd', 3, {})), {}), ('Crossing', 'f', (('Endpoint', 'd', 2, {}), ('Endpoint', 'g', 3, {}), ('Endpoint', 'h', 0, {}), ('Endpoint', 'g', 2, {})), {}), ('Crossing', 'c', (('Endpoint', 'b', 0, {}), ('Endpoint', 'e', 1, {}), ('Endpoint', 'd', 0, {}), ('Endpoint', 'b', 2, {})), {}), ('Crossing', 'd', (('Endpoint', 'c', 2, {}), ('Endpoint', 'e', 0, {}), ('Endpoint', 'f', 0, {}), ('Endpoint', 'b', 3, {})), {}), ('Crossing', 'g', (('Endpoint', 'e', 3, {}), ('Endpoint', 'e', 2, {}), ('Endpoint', 'f', 3, {}), ('Endpoint', 'f', 1, {})), {}), ('Crossing', 'e', (('Endpoint', 'd', 1, {}), ('Endpoint', 'c', 1, {}), ('Endpoint', 'g', 1, {}), ('Endpoint', 'g', 0, {})), {}), ('Vertex', 'a', (('Endpoint', 'b', 1, {}),), {}), ('Vertex', 'h', (('Endpoint', 'f', 2, {}),), {})]); A**14 + A**12 - A**10 - A**8 + A**4
('PlanarDiagram', {}, [('Crossing', 'b', (('Endpoint', 'a', 0, {}), ('Endpoint', 'c', 3, {}), ('Endpoint', 'd', 0, {}), ('Endpoint', 'c', 0, {})), {}), ('Crossing', 'f', (('Endpoint', 'g', 1, {}), ('Endpoint', 'd', 3, {}), ('Endpoint', 'g', 2, {}), ('Endpoint', 'h', 0, {})), {}), ('Crossing', 'c', (('Endpoint', 'b', 3, {}), ('Endpoint', 'e', 0, {}), ('Endpoint', 'd', 1, {}), ('Endpoint', 'b', 1, {})), {}), ('Crossing', 'd', (('Endpoint', 'b', 2, {}), ('Endpoint', 'c', 2, {}), ('Endpoint', 'e', 3, {}), ('Endpoint', 'f', 1, {})), {}), ('Crossing', 'g', (('Endpoint', 'e', 1, {}), ('Endpoint', 'f', 0, {}), ('Endpoint', 'f', 2, {}), ('Endpoint', 'e', 2, {})), {}), ('Crossing', 'e', (('Endpoint', 'c', 1, {}), ('Endpoint', 'g', 0, {}), ('Endpoint', 'g', 3, {}), ('Endpoint', 'd', 2, {})), {}), ('Vertex', 'a', (('Endpoint', 'b', 0, {}),), {}), ('Vertex', 'h', (('Endpoint', 'f', 3, {}),), {})]); -1/A**6 + 2/A**10 + 2/A**12 - 2/A**14 - 3/A**16 + 2/A**20 + A**(-22)
('PlanarDiagram', {}, [('Crossing', 'b', (('Endpoint', 'a', 0, {}), ('Endpoint', 'c', 3, {}), ('Endpoint', 'd', 0, {}), ('Endpoint', 'c', 0, {})), {}), ('Crossing', 'f', (('Endpoint', 'g', 2, {}), ('Endpoint', 'd', 3, {}), ('Endpoint', 'g', 3, {}), ('Endpoint', 'h', 0, {})), {}), ('Crossing', 'c', (('Endpoint', 'b', 3, {}), ('Endpoint', 'e', 1, {}), ('Endpoint', 'd', 1, {}), ('Endpoint', 'b', 1, {})), {}), ('Crossing', 'd', (('Endpoint', 'b', 2, {}), ('Endpoint', 'c', 2, {}), ('Endpoint', 'e', 0, {}), ('Endpoint', 'f', 1, {})), {}), ('Crossing', 'g', (('Endpoint', 'e', 3, {}), ('Endpoint', 'e', 2, {}), ('Endpoint', 'f', 0, {}), ('Endpoint', 'f', 2, {})), {}), ('Crossing', 'e', (('Endpoint', 'd', 2, {}), ('Endpoint', 'c', 1, {}), ('Endpoint', 'g', 1, {}), ('Endpoint', 'g', 0, {})), {}), ('Vertex', 'a', (('Endpoint', 'b', 0, {}),), {}), ('Vertex', 'h', (('Endpoint', 'f', 3, {}),), {})]); -A**6 - A**4 + A**2 + 3 + A**(-2) - 1/A**4 - 1/A**6
('PlanarDiagram', {}, [('Crossing', 'b', (('Endpoint', 'a', 0, {}), ('Endpoint', 'c', 0, {}), ('Endpoint', 'd', 3, {}), ('Endpoint', 'c', 1, {})), {}), ('Crossing', 'f', (('Endpoint', 'g', 1, {}), ('Endpoint', 'd', 2, {}), ('Endpoint', 'g', 2, {}), ('Endpoint', 'h', 0, {})), {}), ('Crossing', 'c', (('Endpoint', 'b', 1, {}), ('Endpoint', 'b', 3, {}), ('Endpoint', 'e', 0, {}), ('Endpoint', 'd', 0, {})), {}), ('Crossing', 'd', (('Endpoint', 'c', 3, {}), ('Endpoint', 'e', 3, {}), ('Endpoint', 'f', 1, {}), ('Endpoint', 'b', 2, {})), {}), ('Crossing', 'g', (('Endpoint', 'e', 1, {}), ('Endpoint', 'f', 0, {}), ('Endpoint', 'f', 2, {}), ('Endpoint', 'e', 2, {})), {}), ('Crossing', 'e', (('Endpoint', 'c', 2, {}), ('Endpoint', 'g', 0, {}), ('Endpoint', 'g', 3, {}), ('Endpoint', 'd', 1, {})), {}), ('Vertex', 'a', (('Endpoint', 'b', 0, {}),), {}), ('Vertex', 'h', (('Endpoint', 'f', 3, {}),), {})]); -A**6 + 2*A**2 + 3 - 1/A**2 - 3/A**4 - 1/A**6 + A**(-8) + A**(-10)
('PlanarDiagram', {}, [('Crossing', 'b', (('Endpoint', 'a', 0, {}), ('Endpoint', 'c', 0, {}), ('Endpoint', 'd', 3, {}), ('Endpoint', 'c', 1, {})), {}), ('Crossing', 'f', (('Endpoint', 'g', 2, {}), ('Endpoint', 'd', 2, {}), ('Endpoint', 'g', 3, {}), ('Endpoint', 'h', 0, {})), {}), ('Crossing', 'c', (('Endpoint', 'b', 1, {}), ('Endpoint', 'b', 3, {}), ('Endpoint', 'e', 1, {}), ('Endpoint', 'd', 0, {})), {}), ('Crossing', 'd', (('Endpoint', 'c', 3, {}), ('Endpoint', 'e', 0, {}), ('Endpoint', 'f', 1, {}), ('Endpoint', 'b', 2, {})), {}), ('Crossing', 'g', (('Endpoint', 'e', 3, {}), ('Endpoint', 'e', 2, {}), ('Endpoint', 'f', 0, {}), ('Endpoint', 'f', 2, {})), {}), ('Crossing', 'e', (('Endpoint', 'd', 1, {}), ('Endpoint', 'c', 2, {}), ('Endpoint', 'g', 1, {}), ('Endpoint', 'g', 0, {})), {}), ('Vertex', 'a', (('Endpoint', 'b', 0, {}),), {}), ('Vertex', 'h', (('Endpoint', 'f', 3, {}),), {})]); A**22 + 2*A**20 - A**18 - 4*A**16 - A**14 + 5*A**12 + 3*A**10 - 2*A**8 - 3*A**6 + A**2
('PlanarDiagram', {}, [('Crossing', 'b', (('Endpoint', 'a', 0, {}), ('Endpoint', 'c', 3, {}), ('Endpoint', 'd', 3, {}), ('Endpoint', 'c', 0, {})), {}), ('Crossing', 'f', (('Endpoint', 'd', 2, {}), ('Endpoint', 'g', 2, {}), ('Endpoint', 'h', 0, {}), ('Endpoint', 'g', 1, {})), {}), ('Crossing', 'c', (('Endpoint', 'b', 3, {}), ('Endpoint', 'e', 0, {}), ('Endpoint', 'd', 0, {}), ('Endpoint', 'b', 1, {})), {}), ('Crossing', 'd', (('Endpoint', 'c', 2, {}), ('Endpoint', 'e', 3, {}), ('Endpoint', 'f', 0, {}), ('Endpoint', 'b', 2, {})), {}), ('Crossing', 'g', (('Endpoint', 'e', 1, {}), ('Endpoint', 'f', 3, {}), ('Endpoint', 'f', 1, {}), ('Endpoint', 'e', 2, {})), {}), ('Crossing', 'e', (('Endpoint', 'c', 1, {}), ('Endpoint', 'g', 0, {}), ('Endpoint', 'g', 3, {}), ('Endpoint', 'd', 1, {})), {}), ('Vertex', 'a', (('Endpoint', 'b', 0, {}),), {}), ('Vertex', 'h', (('Endpoint', 'f', 2, {}),), {})]); -1/A**6 + A**(-10) + A**(-12) - 1/A**14 - 1/A**16 + A**(-18) + A**(-20)
('PlanarDiagram', {}, [('Crossing', 'b', (('Endpoint', 'a', 0, {}), ('Endpoint', 'c', 3, {}), ('Endpoint', 'd', 3, {}), ('Endpoint', 'c', 0, {})), {}), ('Crossing', 'f', (('Endpoint', 'd', 2, {}), ('Endpoint', 'g', 3, {}), ('Endpoint', 'h', 0, {}), ('Endpoint', 'g', 2, {})), {}), ('Crossing', 'c', (('Endpoint', 'b', 3, {}), ('Endpoint', 'e', 1, {}), ('Endpoint', 'd', 0, {}), ('Endpoint', 'b', 1, {})), {}), ('Crossing', 'd', (('Endpoint', 'c', 2, {}), ('Endpoint', 'e', 0, {}), ('Endpoint', 'f', 0, {}), ('Endpoint', 'b', 2, {})), {}), ('Crossing', 'g', (('Endpoint', 'e', 3, {}), ('Endpoint', 'e', 2, {}), ('Endpoint', 'f', 3, {}), ('Endpoint', 'f', 1, {})), {}), ('Crossing', 'e', (('Endpoint', 'd', 1, {}), ('Endpoint', 'c', 1, {}), ('Endpoint', 'g', 1, {}), ('Endpoint', 'g', 0, {})), {}), ('Vertex', 'a', (('Endpoint', 'b', 0, {}),), {}), ('Vertex', 'h', (('Endpoint', 'f', 2, {}),), {})]); 1
('PlanarDiagram', {}, [('Crossing', 'b', (('Endpoint', 'c', 0, {}), ('Endpoint', 'a', 0, {}), ('Endpoint', 'c', 3, {}), ('Endpoint', 'd', 3, {})), {}), ('Crossing', 'f', (('Endpoint', 'g', 1, {}), ('Endpoint', 'd', 2, {}), ('Endpoint', 'g', 2, {}), ('Endpoint', 'h', 0, {})), {}), ('Crossing', 'c', (('Endpoint', 'b', 0, {}), ('Endpoint', 'e', 0, {}), ('Endpoint', 'd', 0, {}), ('Endpoint', 'b', 2, {})), {}), ('Crossing', 'd', (('Endpoint', 'c', 2, {}), ('Endpoint', 'e', 3, {}), ('Endpoint', 'f', 1, {}), ('Endpoint', 'b', 3, {})), {}), ('Crossing', 'g', (('Endpoint', 'e', 1, {}), ('Endpoint', 'f', 0, {}), ('Endpoint', 'f', 2, {}), ('Endpoint', 'e', 2, {})), {}), ('Crossing', 'e', (('Endpoint', 'c', 1, {}), ('Endpoint', 'g', 0, {}), ('Endpoint', 'g', 3, {}), ('Endpoint', 'd', 1, {})), {}), ('Vertex', 'a', (('Endpoint', 'b', 1, {}),), {}), ('Vertex', 'h', (('Endpoint', 'f', 3, {}),), {})]); -A**6 + A**2 + 2 - 1/A**4
('PlanarDiagram', {}, [('Crossing', 'b', (('Endpoint', 'c', 0, {}), ('Endpoint', 'a', 0, {}), ('Endpoint', 'c', 3, {}), ('Endpoint', 'd', 3, {})), {}), ('Crossing', 'f', (('Endpoint', 'g', 2, {}), ('Endpoint', 'd', 2, {}), ('Endpoint', 'g', 3, {}), ('Endpoint', 'h', 0, {})), {}), ('Crossing', 'c', (('Endpoint', 'b', 0, {}), ('Endpoint', 'e', 1, {}), ('Endpoint', 'd', 0, {}), ('Endpoint', 'b', 2, {})), {}), ('Crossing', 'd', (('Endpoint', 'c', 2, {}), ('Endpoint', 'e', 0, {}), ('Endpoint', 'f', 1, {}), ('Endpoint', 'b', 3, {})), {}), ('Crossing', 'g', (('Endpoint', 'e', 3, {}), ('Endpoint', 'e', 2, {}), ('Endpoint', 'f', 0, {}), ('Endpoint', 'f', 2, {})), {}), ('Crossing', 'e', (('Endpoint', 'd', 1, {}), ('Endpoint', 'c', 1, {}), ('Endpoint', 'g', 1, {}), ('Endpoint', 'g', 0, {})), {}), ('Vertex', 'a', (('Endpoint', 'b', 1, {}),), {}), ('Vertex', 'h', (('Endpoint', 'f', 3, {}),), {})]); A**20 + A**18 - A**16 - 2*A**14 + A**12 + 2*A**10 + A**8 - A**6 - A**4
('PlanarDiagram', {}, [('Crossing', 'b', (('Endpoint', 'a', 0, {}), ('Endpoint', 'c', 3, {}), ('Endpoint', 'd', 3, {}), ('Endpoint', 'c', 0, {})), {}), ('Crossing', 'f', (('Endpoint', 'g', 1, {}), ('Endpoint', 'd', 2, {}), ('Endpoint', 'g', 2, {}), ('Endpoint', 'h', 0, {})), {}), ('Crossing', 'c', (('Endpoint', 'b', 3, {}), ('Endpoint', 'e', 0, {}), ('Endpoint', 'd', 0, {}), ('Endpoint', 'b', 1, {})), {}), ('Crossing', 'd', (('Endpoint', 'c', 2, {}), ('Endpoint', 'e', 3, {}), ('Endpoint', 'f', 1, {}), ('Endpoint', 'b', 2, {})), {}), ('Crossing', 'g', (('Endpoint', 'e', 1, {}), ('Endpoint', 'f', 0, {}), ('Endpoint', 'f', 2, {}), ('Endpoint', 'e', 2, {})), {}), ('Crossing', 'e', (('Endpoint', 'c', 1, {}), ('Endpoint', 'g', 0, {}), ('Endpoint', 'g', 3, {}), ('Endpoint', 'd', 1, {})), {}), ('Vertex', 'a', (('Endpoint', 'b', 0, {}),), {}), ('Vertex', 'h', (('Endpoint', 'f', 3, {}),), {})]); -A**2 + A**(-2) + 2/A**4 - 2/A**8 - 1/A**10 + A**(-12) + A**(-14)
('PlanarDiagram', {}, [('Crossing', 'b', (('Endpoint', 'a', 0, {}), ('Endpoint', 'c', 3, {}), ('Endpoint', 'd', 3, {}), ('Endpoint', 'c', 0, {})), {}), ('Crossing', 'f', (('Endpoint', 'g', 2, {}), ('Endpoint', 'd', 2, {}), ('Endpoint', 'g', 3, {}), ('Endpoint', 'h', 0, {})), {}), ('Crossing', 'c', (('Endpoint', 'b', 3, {}), ('Endpoint', 'e', 1, {}), ('Endpoint', 'd', 0, {}), ('Endpoint', 'b', 1, {})), {}), ('Crossing', 'd', (('Endpoint', 'c', 2, {}), ('Endpoint', 'e', 0, {}), ('Endpoint', 'f', 1, {}), ('Endpoint', 'b', 2, {})), {}), ('Crossing', 'g', (('Endpoint', 'e', 3, {}), ('Endpoint', 'e', 2, {}), ('Endpoint', 'f', 0, {}), ('Endpoint', 'f', 2, {})), {}), ('Crossing', 'e', (('Endpoint', 'd', 1, {}), ('Endpoint', 'c', 1, {}), ('Endpoint', 'g', 1, {}), ('Endpoint', 'g', 0, {})), {}), ('Vertex', 'a', (('Endpoint', 'b', 0, {}),), {}), ('Vertex', 'h', (('Endpoint', 'f', 3, {}),), {})]); -A**10 + A**8 + 2*A**6 + A**4 - A**2 - 1
('PlanarDiagram', {}, [('Crossing', 'b', (('Endpoint', 'a', 0, {}), ('Endpoint', 'c', 0, {}), ('Endpoint', 'd', 1, {}), ('Endpoint', 'd', 0, {})), {}), ('Crossing', 'f', (('Endpoint', 'g', 3, {}), ('Endpoint', 'g', 2, {}), ('Endpoint', 'h', 0, {}), ('Endpoint', 'c', 3, {})), {}), ('Crossing', 'd', (('Endpoint', 'b', 3, {}), ('Endpoint', 'b', 2, {}), ('Endpoint', 'e', 1, {}), ('Endpoint', 'c', 1, {})), {}), ('Crossing', 'c', (('Endpoint', 'b', 1, {}), ('Endpoint', 'd', 3, {}), ('Endpoint', 'e', 0, {}), ('Endpoint', 'f', 3, {})), {}), ('Crossing', 'g', (('Endpoint', 'e', 3, {}), ('Endpoint', 'e', 2, {}), ('Endpoint', 'f', 1, {}), ('Endpoint', 'f', 0, {})), {}), ('Crossing', 'e', (('Endpoint', 'c', 2, {}), ('Endpoint', 'd', 2, {}), ('Endpoint', 'g', 1, {}), ('Endpoint', 'g', 0, {})), {}), ('Vertex', 'a', (('Endpoint', 'b', 0, {}),), {}), ('Vertex', 'h', (('Endpoint', 'f', 2, {}),), {})]); A**20 + A**18 - A**14
('PlanarDiagram', {}, [('Crossing', 'b', (('Endpoint', 'a', 0, {}), ('Endpoint', 'c', 0, {}), ('Endpoint', 'd', 1, {}), ('Endpoint', 'd', 0, {})), {}), ('Crossing', 'f', (('Endpoint', 'c', 3, {}), ('Endpoint', 'g', 2, {}), ('Endpoint', 'g', 1, {}), ('Endpoint', 'h', 0, {})), {}), ('Crossing', 'd', (('Endpoint', 'b', 3, {}), ('Endpoint', 'b', 2, {}), ('Endpoint', 'e', 0, {}), ('Endpoint', 'c', 1, {})), {}), ('Crossing', 'c', (('Endpoint', 'b', 1, {}), ('Endpoint', 'd', 3, {}), ('Endpoint', 'e', 3, {}), ('Endpoint', 'f', 0, {})), {}), ('Crossing', 'g', (('Endpoint', 'e', 1, {}), ('Endpoint', 'f', 2, {}), ('Endpoint', 'f', 1, {}), ('Endpoint', 'e', 2, {})), {}), ('Crossing', 'e', (('Endpoint', 'd', 2, {}), ('Endpoint', 'g', 0, {}), ('Endpoint', 'g', 3, {}), ('Endpoint', 'c', 2, {})), {}), ('Vertex', 'a', (('Endpoint', 'b', 0, {}),), {}), ('Vertex', 'h', (('Endpoint', 'f', 3, {}),), {})]); A**4 - 1 - 1/A**2 + A**(-4) + A**(-6) - 1/A**8 - 1/A**10 + A**(-12) + A**(-14)
('PlanarDiagram', {}, [('Crossing', 'b', (('Endpoint', 'a', 0, {}), ('Endpoint', 'c', 3, {}), ('Endpoint', 'd', 1, {}), ('Endpoint', 'd', 0, {})), {}), ('Crossing', 'f', (('Endpoint', 'g', 3, {}), ('Endpoint', 'g', 2, {}), ('Endpoint', 'h', 0, {}), ('Endpoint', 'c', 2, {})), {}), ('Crossing', 'd', (('Endpoint', 'b', 3, {}), ('Endpoint', 'b', 2, {}), ('Endpoint', 'e', 1, {}), ('Endpoint', 'c', 0, {})), {}), ('Crossing', 'c', (('Endpoint', 'd', 3, {}), ('Endpoint', 'e', 0, {}), ('Endpoint', 'f', 3, {}), ('Endpoint', 'b', 1, {})), {}), ('Crossing', 'g', (('Endpoint', 'e', 3, {}), ('Endpoint', 'e', 2, {}), ('Endpoint', 'f', 1, {}), ('Endpoint', 'f', 0, {})), {}), ('Crossing', 'e', (('Endpoint', 'c', 1, {}), ('Endpoint', 'd', 2, {}), ('Endpoint', 'g', 1, {}), ('Endpoint', 'g', 0, {})), {}), ('Vertex', 'a', (('Endpoint', 'b', 0, {}),), {}), ('Vertex', 'h', (('Endpoint', 'f', 2, {}),), {})]); A**32 - 2*A**28 + 3*A**24 + A**22 - 2*A**20 - A**18 + 2*A**16 + A**14 - A**12 - A**10
('PlanarDiagram', {}, [('Crossing', 'b', (('Endpoint', 'c', 0, {}), ('Endpoint', 'd', 0, {}), ('Endpoint', 'd', 3, {}), ('Endpoint', 'a', 0, {})), {}), ('Crossing', 'f', (('Endpoint', 'g', 3, {}), ('Endpoint', 'g', 2, {}), ('Endpoint', 'h', 0, {}), ('Endpoint', 'c', 3, {})), {}), ('Crossing', 'd', (('Endpoint', 'b', 1, {}), ('Endpoint', 'e', 1, {}), ('Endpoint', 'c', 1, {}), ('Endpoint', 'b', 2, {})), {}), ('Crossing', 'c', (('Endpoint', 'b', 0, {}), ('Endpoint', 'd', 2, {}), ('Endpoint', 'e', 0, {}), ('Endpoint', 'f', 3, {})), {}), ('Crossing', 'g', (('Endpoint', 'e', 3, {}), ('Endpoint', 'e', 2, {}), ('Endpoint', 'f', 1, {}), ('Endpoint', 'f', 0, {})), {}), ('Crossing', 'e', (('Endpoint', 'c', 2, {}), ('Endpoint', 'd', 1, {}), ('Endpoint', 'g', 1, {}), ('Endpoint', 'g', 0, {})), {}), ('Vertex', 'a', (('Endpoint', 'b', 3, {}),), {}), ('Vertex', 'h', (('Endpoint', 'f', 2, {}),), {})]); A**10 + A**8 - A**6 - 2*A**4 + 2 - 1/A**4 + A**(-8)
('PlanarDiagram', {}, [('Crossing', 'b', (('Endpoint', 'a', 0, {}), ('Endpoint', 'c', 3, {}), ('Endpoint', 'd', 1, {}), ('Endpoint', 'd', 0, {})), {}), ('Crossing', 'f', (('Endpoint', 'c', 2, {}), ('Endpoint', 'g', 2, {}), ('Endpoint', 'g', 1, {}), ('Endpoint', 'h', 0, {})), {}), ('Crossing', 'd', (('Endpoint', 'b', 3, {}), ('Endpoint', 'b', 2, {}), ('Endpoint', 'e', 0, {}), ('Endpoint', 'c', 0, {})), {}), ('Crossing', 'c', (('Endpoint', 'd', 3, {}), ('Endpoint', 'e', 3, {}), ('Endpoint', 'f', 0, {}), ('Endpoint', 'b', 1, {})), {}), ('Crossing', 'g', (('Endpoint', 'e', 1, {}), ('Endpoint', 'f', 2, {}), ('Endpoint', 'f', 1, {}), ('Endpoint', 'e', 2, {})), {}), ('Crossing', 'e', (('Endpoint', 'd', 2, {}), ('Endpoint', 'g', 0, {}), ('Endpoint', 'g', 3, {}), ('Endpoint', 'c', 1, {})), {}), ('Vertex', 'a', (('Endpoint', 'b', 0, {}),), {}), ('Vertex', 'h', (('Endpoint', 'f', 3, {}),), {})]); A**8 - A**4 + 2 - 2/A**4 - 1/A**6 + A**(-8) + A**(-10)
('PlanarDiagram', {}, [('Crossing', 'b', (('Endpoint', 'c', 0, {}), ('Endpoint', 'd', 0, {}), ('Endpoint', 'd', 3, {}), ('Endpoint', 'a', 0, {})), {}), ('Crossing', 'f', (('Endpoint', 'c', 3, {}), ('Endpoint', 'g', 2, {}), ('Endpoint', 'g', 1, {}), ('Endpoint', 'h', 0, {})), {}), ('Crossing', 'd', (('Endpoint', 'b', 1, {}), ('Endpoint', 'e', 0, {}), ('Endpoint', 'c', 1, {}), ('Endpoint', 'b', 2, {})), {}), ('Crossing', 'c', (('Endpoint', 'b', 0, {}), ('Endpoint', 'd', 2, {}), ('Endpoint', 'e', 3, {}), ('Endpoint', 'f', 0, {})), {}), ('Crossing', 'g', (('Endpoint', 'e', 1, {}), ('Endpoint', 'f', 2, {}), ('Endpoint', 'f', 1, {}), ('Endpoint', 'e', 2, {})), {}), ('Crossing', 'e', (('Endpoint', 'd', 1, {}), ('Endpoint', 'g', 0, {}), ('Endpoint', 'g', 3, {}), ('Endpoint', 'c', 2, {})), {}), ('Vertex', 'a', (('Endpoint', 'b', 3, {}),), {}), ('Vertex', 'h', (('Endpoint', 'f', 3, {}),), {})]); -1/A**10 - 1/A**12 + A**(-14) + 2/A**16 - 1/A**18 - 2/A**20 + A**(-22) + 3/A**24 - 2/A**28 + A**(-32)
('PlanarDiagram', {}, [('Crossing', 'b', (('Endpoint', 'c', 3, {}), ('Endpoint', 'd', 0, {}), ('Endpoint', 'd', 3, {}), ('Endpoint', 'a', 0, {})), {}), ('Crossing', 'f', (('Endpoint', 'g', 3, {}), ('Endpoint', 'g', 2, {}), ('Endpoint', 'h', 0, {}), ('Endpoint', 'c', 2, {})), {}), ('Crossing', 'd', (('Endpoint', 'b', 1, {}), ('Endpoint', 'e', 1, {}), ('Endpoint', 'c', 0, {}), ('Endpoint', 'b', 2, {})), {}), ('Crossing', 'c', (('Endpoint', 'd', 2, {}), ('Endpoint', 'e', 0, {}), ('Endpoint', 'f', 3, {}), ('Endpoint', 'b', 0, {})), {}), ('Crossing', 'g', (('Endpoint', 'e', 3, {}), ('Endpoint', 'e', 2, {}), ('Endpoint', 'f', 1, {}), ('Endpoint', 'f', 0, {})), {}), ('Crossing', 'e', (('Endpoint', 'c', 1, {}), ('Endpoint', 'd', 1, {}), ('Endpoint', 'g', 1, {}), ('Endpoint', 'g', 0, {})), {}), ('Vertex', 'a', (('Endpoint', 'b', 3, {}),), {}), ('Vertex', 'h', (('Endpoint', 'f', 2, {}),), {})]); A**14 + A**12 - A**10 - A**8 + A**6 + A**4 - A**2 - 1 + A**(-4)
('PlanarDiagram', {}, [('Crossing', 'b', (('Endpoint', 'c', 3, {}), ('Endpoint', 'd', 0, {}), ('Endpoint', 'd', 3, {}), ('Endpoint', 'a', 0, {})), {}), ('Crossing', 'f', (('Endpoint', 'c', 2, {}), ('Endpoint', 'g', 2, {}), ('Endpoint', 'g', 1, {}), ('Endpoint', 'h', 0, {})), {}), ('Crossing', 'd', (('Endpoint', 'b', 1, {}), ('Endpoint', 'e', 0, {}), ('Endpoint', 'c', 0, {}), ('Endpoint', 'b', 2, {})), {}), ('Crossing', 'c', (('Endpoint', 'd', 2, {}), ('Endpoint', 'e', 3, {}), ('Endpoint', 'f', 0, {}), ('Endpoint', 'b', 0, {})), {}), ('Crossing', 'g', (('Endpoint', 'e', 1, {}), ('Endpoint', 'f', 2, {}), ('Endpoint', 'f', 1, {}), ('Endpoint', 'e', 2, {})), {}), ('Crossing', 'e', (('Endpoint', 'd', 1, {}), ('Endpoint', 'g', 0, {}), ('Endpoint', 'g', 3, {}), ('Endpoint', 'c', 1, {})), {}), ('Vertex', 'a', (('Endpoint', 'b', 3, {}),), {}), ('Vertex', 'h', (('Endpoint', 'f', 3, {}),), {})]); -1/A**14 + A**(-18) + A**(-20)
('PlanarDiagram', {}, [('Crossing', 'b', (('Endpoint', 'a', 0, {}), ('Endpoint', 'c', 0, {}), ('Endpoint', 'd', 1, {}), ('Endpoint', 'd', 0, {})), {}), ('Crossing', 'f', (('Endpoint', 'c', 3, {}), ('Endpoint', 'h', 0, {}), ('Endpoint', 'g', 3, {}), ('Endpoint', 'g', 2, {})), {}), ('Crossing', 'd', (('Endpoint', 'b', 3, {}), ('Endpoint', 'b', 2, {}), ('Endpoint', 'e', 1, {}), ('Endpoint', 'c', 1, {})), {}), ('Crossing', 'c', (('Endpoint', 'b', 1, {}), ('Endpoint', 'd', 3, {}), ('Endpoint', 'e', 0, {}), ('Endpoint', 'f', 0, {})), {}), ('Crossing', 'g', (('Endpoint', 'e', 3, {}), ('Endpoint', 'e', 2, {}), ('Endpoint', 'f', 3, {}), ('Endpoint', 'f', 2, {})), {}), ('Crossing', 'e', (('Endpoint', 'c', 2, {}), ('Endpoint', 'd', 2, {}), ('Endpoint', 'g', 1, {}), ('Endpoint', 'g', 0, {})), {}), ('Vertex', 'a', (('Endpoint', 'b', 0, {}),), {}), ('Vertex', 'h', (('Endpoint', 'f', 1, {}),), {})]); A**14 + A**12 - A**10 - 2*A**8 + 2*A**4 + A**2 - 1/A**2
